h,s,v,emotion,is_error
0.99,0.178,0.506,Surprise,False
0.332,0.287,0.221,Surprise,False
0.387,0.135,0.297,Surprise,False
0.929,0.699,0.951,Surprise,False
0.352,0.338,0.216,Surprise,False
0.254,0.776,0.496,Surprise,False
0.447,0.583,0.459,Surprise,False
0.447,0.239,0.674,Surprise,False
0.231,0.305,0.031,Fear,False
0.043,0.907,0.406,Surprise,False
0.065,0.466,0.926,Surprise,False
0.995,0.58,0.22,Surprise,False
0.886,0.686,0.537,Surprise,False
0.028,0.067,0.574,Surprise,False
0.235,0.468,0.907,Surprise,False
0.464,0.564,0.041,Fear,False
0.225,0.544,0.115,Fear,False
0.021,0.597,0.891,Surprise,False
0.734,0.952,0.044,Sadness,True
0.791,0.924,0.269,Surprise,False
0.042,0.935,0.746,Anger,False
0.554,0.212,0.17,Fear,False
0.838,0.074,0.629,Surprise,False
0.702,0.72,0.006,Fear,False
0.978,0.289,0.519,Surprise,False
0.565,0.34,0.626,Surprise,False
0.572,0.189,0.161,Fear,False
0.595,0.965,0.281,Surprise,False
0.432,0.291,0.055,Fear,False
0.592,0.97,0.502,Surprise,False
0.931,0.15,0.435,Surprise,False
0.977,0.265,0.568,Surprise,False
1.0,0.023,0.526,Surprise,False
0.477,0.653,0.789,Surprise,False
0.543,0.621,0.4,Fear,True
0.154,0.358,0.787,Surprise,False
0.001,0.942,0.9,Anger,False
0.293,0.884,0.795,Surprise,False
0.72,0.716,0.752,Surprise,False
0.378,0.237,0.115,Fear,False
0.668,0.452,0.421,Disgust,True
0.983,0.48,0.02,Fear,False
0.749,0.282,0.611,Surprise,False
0.288,0.052,0.244,Surprise,False
0.216,0.387,0.184,Fear,False
0.537,0.652,0.815,Surprise,False
0.288,0.423,0.732,Surprise,False
0.116,0.665,0.867,Happiness,True
0.097,0.235,0.884,Surprise,False
0.529,0.479,0.806,Happiness,True
0.819,0.244,0.328,Surprise,False
0.818,0.701,0.127,Fear,False
0.568,0.506,0.792,Surprise,False
0.677,0.233,0.677,Surprise,False
0.883,0.981,0.505,Surprise,False
0.844,0.97,0.19,Fear,False
0.218,0.956,0.628,Surprise,False
0.426,0.962,0.778,Fear,True
0.017,0.542,0.863,Happiness,True
0.899,0.876,0.981,Surprise,False
0.001,0.096,0.758,Surprise,False
0.272,0.378,0.672,Disgust,False
0.898,0.478,0.502,Surprise,False
0.129,0.181,0.309,Surprise,False
0.269,0.573,0.05,Fear,False
0.66,0.523,0.487,Surprise,False
0.054,0.447,0.861,Surprise,False
0.374,0.576,0.224,Surprise,False
0.527,0.843,0.927,Surprise,False
